OBJECTID,hohe,flaeche,dachflaeche,volume,buildup,imprevious,grass,baeumedichte,DGM,NDVI
94847.0,5.234000206,1.723530901,1.72353072,9.020960735,1.0,100.0,0.0,0.0,325.4525146,0.121324115
22184.0,8.450333595,140.253727,150.0517804,1180.548505,1.0,93.0,0.0,0.0,316.823761,0.433851838
32498.0,5.553599834,124.295966,154.9461641,750.9304458,1.0,60.0,0.0,42.0,354.6762695,0.524204254
2402.0,11.04300022,22.36321129,24.8123263,246.9569423,1.0,59.0,0.0,0.0,358.5667725,0.514097393
57429.0,7.508999825,144.3038393,198.8846816,1598.11634,1.0,48.0,0.0,0.0,335.5110168,0.508482635
91053.0,7.481500149,1.935297299,1.944008442,10.00241523,1.0,71.0,0.0,0.0,302.1025085,0.417338043
60938.0,11.92000008,37.36040396,45.37435292,406.1776329,0.0,4.0,0.0,32.0,349.3980103,0.618782163
12127.0,5.16833353,59.98722735,81.8884963,494.6819724,1.0,90.0,0.0,0.0,342.334259,0.411125302
97314.0,16.13899994,60.3522283,60.35217181,974.0246125,0.0,0.0,0.0,0.0,321.3890076,0.341558963
111122.0,10.16566658,184.0771138,238.8633009,1738.225436,1.0,94.0,0.0,0.0,307.2662659,0.50783658
79122.0,20.07999992,14.3178015,18.280039,287.5014541,1.0,52.0,0.0,0.0,293.3827515,0.47581017
37252.0,13.68999958,106.3547577,124.376803,1455.996633,1.0,84.0,0.0,0.0,307.1867676,0.231988311
81779.0,9.649666786,141.6562346,182.7936469,1683.7886,1.0,91.0,0.0,0.0,296.6800232,0.565094233
63469.0,12.32600021,88.95818199,103.1515642,1096.498551,0.0,33.0,0.0,0.0,339.6077576,0.506899118
89773.0,10.10900021,130.7306722,159.6057845,1318.474506,0.0,54.0,0.0,0.0,302.4855042,0.465011954
50372.0,8.763999939,18.88099998,18.88099647,165.4730838,1.0,100.0,0.0,0.0,290.1119995,0.119417213
