OBJECTID,LST
1.0,33.12848129
4.0,34.09853436
7.0,33.93114632
8.0,34.37007705
9.0,33.34609523
16.0,32.27739431
18.0,33.75350423
25.0,37.67872042
32.0,34.16642003
34.0,34.82135064
36.0,37.14978182
38.0,32.78212193
42.0,34.53812971
47.0,35.2835429
51.0,34.86568996
53.0,33.33660073
58.0,33.86857757
59.0,36.43627015
65.0,34.88619808
68.0,33.66511043
80.0,31.3234819
81.0,32.00509205
83.0,32.89482165
86.0,33.09088307
87.0,34.83483283
90.0,31.60375954
98.0,34.35403135
100.0,30.93525179
107.0,32.1883359
108.0,36.67296803
109.0,31.53568397
111.0,36.27875639
114.0,31.58163735
121.0,35.60664074
132.0,33.439711
133.0,31.84472995
142.0,33.59997816
143.0,33.09458592
149.0,33.83202374
155.0,29.74131842
164.0,33.99665837
168.0,33.7502761
174.0,31.98173558
177.0,36.55248283
182.0,34.64522767
190.0,33.53778919
197.0,32.52159285
202.0,40.98736378
208.0,30.68421721
215.0,32.50070495
216.0,33.74011698
220.0,31.51204267
226.0,33.42869738
227.0,32.74110569
231.0,34.69564346
232.0,38.31561148
236.0,36.06294641
242.0,34.71757576
246.0,34.89274928
247.0,35.71706177
249.0,35.29009411
259.0,32.63058971
266.0,32.29505408
269.0,36.01414468
272.0,34.80976735
273.0,31.88289784
287.0,37.27767274
291.0,35.92214297
292.0,31.0395014
293.0,34.59642594
301.0,32.83491135
307.0,35.04599051
310.0,34.74520475
325.0,39.48618838
327.0,36.72082031
329.0,33.23510453
330.0,35.46298895
338.0,31.8313427
344.0,33.59342695
349.0,31.27278127
350.0,31.10444378
353.0,34.29915314
360.0,32.27435607
363.0,34.30769819
364.0,33.58659092
367.0,33.8186365
378.0,36.48697078
382.0,34.83492778
384.0,34.57544309
386.0,33.26453748
387.0,38.4443569
388.0,33.10113713
389.0,32.89377725
393.0,37.76227202
399.0,35.09222873
407.0,32.78572984
417.0,35.93078297
418.0,34.02058451
423.0,38.29719214
431.0,32.38021975
437.0,31.08982225
438.0,33.41246179
443.0,35.86118828
445.0,34.08039986
451.0,33.25865089
452.0,39.25119951
457.0,35.12147179
462.0,35.0738094
474.0,36.70031219
479.0,33.16522501
489.0,35.02301382
493.0,39.79352535
494.0,32.55510844
497.0,34.54980794
499.0,32.16118163
500.0,33.99324035
508.0,35.17046341
514.0,30.89869797
517.0,32.96546072
522.0,33.91462589
524.0,34.69051643
525.0,32.41525445
529.0,33.59589553
534.0,34.09663546
541.0,31.05545216
544.0,36.84899606
562.0,35.61594535
565.0,32.62593741
575.0,31.15960683
576.0,35.50998673
582.0,33.26947462
591.0,33.76936004
594.0,36.08962595
595.0,35.42054854
597.0,35.28211873
600.0,35.33965539
608.0,33.52838963
612.0,38.73232508
618.0,33.03676442
623.0,34.08410272
625.0,31.26053336
630.0,36.64818739
632.0,27.45133996
634.0,33.32368821
640.0,37.85788163
642.0,32.5548236
645.0,36.16795558
646.0,33.94339423
649.0,38.8990485
652.0,37.95614971
658.0,34.07736162
660.0,40.24413432
665.0,32.85646387
667.0,37.04439287
680.0,34.11363061
681.0,38.11091006
684.0,34.57829144
696.0,33.67574427
705.0,40.61422993
708.0,33.37201522
710.0,33.02166817
711.0,37.23903012
718.0,35.6728174
722.0,33.40885388
723.0,35.51511376
731.0,35.13485903
732.0,35.06222611
734.0,33.66596494
737.0,36.87719473
750.0,37.61520221
751.0,34.40596627
753.0,38.12819005
756.0,33.601972
761.0,35.93344143
766.0,32.67644815
775.0,34.77197924
776.0,34.34216323
777.0,28.94482481
781.0,33.47512549
789.0,35.41741535
792.0,33.02147828
794.0,34.49379039
798.0,36.15380877
801.0,33.8490189
811.0,33.69539789
812.0,33.99675332
822.0,35.46194456
828.0,31.53625364
830.0,31.63081886
832.0,31.67952564
836.0,32.92340009
838.0,34.04944779
839.0,34.39827572
840.0,36.44842311
849.0,35.10713509
854.0,37.05578627
855.0,34.61788351
864.0,31.52979738
866.0,34.62471955
869.0,33.95592697
872.0,35.24252666
874.0,34.77976473
880.0,33.53437117
884.0,34.4973983
894.0,36.65948584
899.0,34.88173566
903.0,33.61156145
906.0,35.15242386
908.0,35.71164991
912.0,34.5649042
913.0,34.55379563
915.0,35.31174157
917.0,34.68709841
924.0,33.64574165
928.0,33.52611095
930.0,32.9584348
935.0,33.51993953
937.0,34.28120854
942.0,33.33489172
944.0,32.61406928
946.0,34.25044636
957.0,34.09065392
959.0,35.99249722
960.0,34.19870133
967.0,35.02092503
969.0,33.84056879
970.0,31.33886298
974.0,36.29271331
975.0,33.31106053
977.0,33.47721428
978.0,34.23250175
992.0,39.02171744
994.0,32.92596361
995.0,34.46302821
998.0,39.86596838
1006.0,33.6513434
1010.0,41.26033065
1014.0,32.72657911
1018.0,34.93889255
1021.0,31.49780092
1022.0,33.93522896
1023.0,31.07425127
1025.0,34.61598461
1028.0,36.18703952
1032.0,35.00136636
1036.0,33.67204142
1037.0,37.01989706
1040.0,32.41933709
1050.0,34.95864111
1052.0,33.72236227
1054.0,38.07635008
1056.0,33.21421663
1060.0,32.17969591
1062.0,34.79675989
1064.0,32.89377725
1065.0,34.13964554
1068.0,34.42647439
1069.0,33.59418652
1075.0,37.60893584
1077.0,34.89569257
1088.0,33.67574427
1089.0,31.34342035
1096.0,34.22538088
1099.0,32.54998141
1102.0,38.22987614
1110.0,35.66750048
1111.0,32.20561589
1116.0,34.52103961
1119.0,32.92283042
1121.0,37.24975891
1123.0,36.07339036
1125.0,33.34438622
1126.0,32.95786513
1127.0,28.70974099
1130.0,38.0559369
1132.0,37.3505905
1134.0,32.65983277
1136.0,34.76352913
1139.0,35.73196813
1140.0,34.25557339
1141.0,34.89417346
1146.0,33.38293389
1151.0,36.77199567
1152.0,33.50550789
1159.0,32.23808708
1166.0,34.57287958
1177.0,34.22642527
1182.0,33.93228566
1184.0,33.86572922
1186.0,33.16664918
1187.0,33.66596494
1189.0,36.35281349
1192.0,38.44264789
1196.0,34.68149665
1203.0,32.97096754
1205.0,32.66505475
1208.0,33.31049086
1210.0,35.0898551
1211.0,32.71945823
1213.0,37.303118
1218.0,40.49203571
1219.0,34.64579734
1220.0,33.50161514
1223.0,37.6305833
1224.0,34.29858347
1226.0,34.83407327
1227.0,38.21962208
1241.0,33.26520209
1247.0,33.28200736
1250.0,33.65105857
1251.0,35.31003256
1254.0,37.79996518
1255.0,32.09880277
1257.0,35.75010263
1258.0,34.94117123
1263.0,34.19120068
1265.0,31.81140425
1270.0,36.06607959
1274.0,41.05686352
1275.0,32.98691829
1277.0,32.74917601
1279.0,33.82661187
1283.0,33.77192356
1288.0,34.06767723
1295.0,33.58478696
1298.0,34.88543852
1317.0,34.46948447
1324.0,32.00907974
1327.0,39.53926263
1328.0,36.18903337
1330.0,34.72013927
1342.0,33.73005281
1348.0,34.07508294
1352.0,35.18926252
1355.0,31.72661837
1362.0,34.58180441
1365.0,34.16955322
1366.0,32.83424674
1368.0,34.60193275
1370.0,34.02058451
1378.0,37.06717967
1379.0,36.52817691
1382.0,35.27756137
1385.0,35.9833825
1387.0,33.77049938
1389.0,31.67306939
1393.0,33.57064016
1398.0,32.12130473
1407.0,32.86140101
1417.0,34.67864831
1422.0,37.18196817
1426.0,37.38078301
1427.0,35.45245006
1437.0,36.25625443
1443.0,38.31589631
1446.0,30.84695294
1448.0,34.4727126
1450.0,36.33439416
1459.0,30.17217882
1463.0,37.86585701
1474.0,32.12529242
1476.0,34.99016285
1477.0,36.20754764
1478.0,36.21381401
1479.0,33.2270342
1480.0,34.05077702
1483.0,34.99623933
1485.0,33.7047025
1487.0,33.66767395
1489.0,31.41111613
1494.0,36.93900392
1506.0,30.8059367
1507.0,32.14864889
1508.0,38.72767278
1526.0,34.17895277
1533.0,35.25562907
1535.0,33.00894554
1536.0,34.49587918
1537.0,32.34205186
1540.0,32.32781011
1543.0,37.0923401
1557.0,34.5136339
1558.0,36.77911654
1565.0,33.96399729
1567.0,32.00395271
1571.0,34.11287105
1572.0,33.07977451
1573.0,32.59555501
1581.0,36.98191906
1587.0,33.99827244
1595.0,32.65679453
1602.0,38.22807219
1605.0,32.92396976
1613.0,34.19120068
1619.0,33.09809889
1626.0,36.20526896
1634.0,34.47318733
1637.0,35.49963772
1639.0,35.7335822
1655.0,35.52251947
1661.0,32.6250829
1664.0,28.08044553
1671.0,31.32860893
1679.0,31.92619276
1681.0,33.09021846
1690.0,36.95808787
1691.0,35.34734594
1697.0,33.99827244
1698.0,33.28571021
1700.0,35.97569195
1706.0,35.70225035
1708.0,33.71267788
1720.0,33.91718941
1723.0,35.14739177
1727.0,32.43234455
1728.0,31.73506847
1729.0,35.59951986
1730.0,31.90824815
1732.0,38.2107922
1734.0,32.6223295
1737.0,36.63223663
1740.0,38.06343756
1742.0,32.77072853
1749.0,32.7153756
1750.0,33.1995951
1751.0,33.00476796
1766.0,31.02782317
1769.0,33.33099898
1770.0,34.65263338
1773.0,38.29453369
1779.0,33.3249225
1780.0,33.95231906
1781.0,35.10324235
1788.0,36.74873414
1789.0,32.22859258
1795.0,33.92345578
1808.0,34.39656671
1815.0,34.92778399
1817.0,34.30969204
1820.0,36.80797982
1821.0,36.00559963
1832.0,31.50539652
1837.0,34.16727454
1840.0,34.55237146
1841.0,33.8983903
1844.0,33.59561069
1845.0,34.6560514
1848.0,32.65707937
1853.0,34.46340799
1857.0,32.5206434
1871.0,33.78986816
1872.0,33.11404965
1873.0,37.29723141
1876.0,33.98611948
1877.0,34.03938362
1880.0,34.42391087
1884.0,34.51971038
1891.0,34.10271194
1892.0,32.61264511
1894.0,33.11025185
1895.0,33.79869805
1896.0,35.21489767
1901.0,34.06587328
1911.0,32.93507833
1915.0,34.62414988
1916.0,32.40044303
1917.0,33.61678342
1921.0,35.92964363
1926.0,36.77978116
1932.0,34.32137027
1934.0,34.01023551
1939.0,34.20914528
1941.0,34.1433484
1943.0,33.80980661
1949.0,32.95416227
1953.0,33.52307271
1956.0,36.03826071
1958.0,33.0951556
1960.0,37.45996714
1962.0,30.34061125
1974.0,32.8282652
1977.0,35.40440789
1981.0,34.49483478
1983.0,34.08552689
1986.0,35.50941706
1987.0,34.07052558
1993.0,31.65730852
1996.0,34.28035403
2001.0,36.82051256
2007.0,37.31565074
2010.0,37.05550143
2012.0,33.21336212
2013.0,36.08905628
2014.0,35.52622232
2017.0,34.78878451
2023.0,34.90841521
2025.0,37.61187914
2039.0,38.49334852
2042.0,38.44786986
2046.0,36.66252408
2049.0,33.27232297
2058.0,34.3037105
2063.0,36.0525974
2065.0,32.33550065
2072.0,35.16789989
2073.0,33.53266216
2077.0,34.47451656
2079.0,32.4294962
2082.0,33.98241662
2091.0,33.72055831
2094.0,33.67365548
2099.0,34.33361818
2105.0,33.18373928
2109.0,34.42998735
2110.0,35.06165644
2116.0,32.53232164
2117.0,35.00497427
2120.0,33.38207939
2121.0,36.04063433
2132.0,32.50326847
2142.0,31.20328153
2149.0,32.8567487
2150.0,36.82991212
2156.0,37.21415453
2159.0,33.50275448
2163.0,33.35919764
2167.0,31.71987727
2169.0,37.05806495
2171.0,34.46150909
2172.0,32.50925
2175.0,31.37228363
2186.0,31.8142526
2196.0,33.58393246
2201.0,33.05755738
