,LST
7553,34.892179610000014
108241,35.97787568500001
88228,35.20863129500002
4759,31.332026944999992
25498,33.327865790000004
115964,34.56148617500003
34504,34.57772177
44888,31.53454463000002
85174,30.22724692500005
5761,31.449568855000024
115114,34.359822995000016
113203,31.66329005000003
42115,34.93091717000004
118130,36.07206112500001
80236,36.97888082000003
64532,34.367228705
74927,37.934027520000015
8850,33.99789265500004
45385,34.18635848000001
23261,35.06858742000006
36231,37.76407597000001
65119,32.64141344000002
33724,32.885137255000046
76174,34.115434565000015
25092,34.55749848500001
40601,32.737972505000016
62876,35.44466456500004
56573,32.35619866000002
67578,36.578212920000006
25960,35.03060942000002
4919,33.93484917500002
26027,42.35941397
44595,33.608997935000026
52028,31.503212780000013
74750,36.62682476000003
45882,32.04098126000003
87794,43.11954364000004
94431,32.58644028500004
109085,38.23462339000002
82764,35.264743790000004
16869,33.729483140000035
45585,39.412226225
24198,36.385474570000014
11714,34.540883110000024
42478,31.35111089000003
26672,31.921540450000013
46702,37.793698810000016
18035,35.353612310000024
94847,36.286446935000015
22184,33.19636696500001
32498,31.878340475000016
2402,32.61520862000005
57429,32.35657843999999
91053,35.88710826500001
60938,32.242359605
12127,34.86255677000002
97314,32.198210180000004
111122,34.229938235000006
79122,34.228798895
37252,35.31772310000002
81779,34.46435744000006
63469,34.00947594500002
89773,36.632236625
50372,38.06068415000003
113875,36.740094145
106116,32.98862730500004
90071,34.08210887000001
80126,33.19228433000002
71200,38.90132718
69991,32.52814405500003
71236,38.56674100000002
4857,38.02935230000003
70072,40.453582985000025
49504,31.768679000000024
76911,35.67148817000002
113138,35.12137684000002
67961,33.834967035000034
49980,32.623563780000005
50158,32.470132660000026
57788,36.63024278000002
102893,31.58239691000003
122009,35.74231714000002
57622,33.62437902500001
41012,36.84102068000003
62454,31.073966435000024
66023,32.54029701500005
74981,37.888358975
35840,34.83891546500002
107333,33.66881328500004
77367,27.801212285000037
72946,36.75158249
14689,30.97455902000002
54490,33.148704575000025
4674,35.016652505000025
38327,37.87402228000004
18163,33.85822855999999
102177,36.31094274500003
4728,34.414796150000015
69198,37.27368504500002
39980,35.20492844000002
99816,34.106889515000034
86070,35.145967595
86339,36.007688415000025
43613,33.11642327500004
29797,33.05670287
15337,34.76875110999999
102647,33.121455359999985
79867,38.21107703000003
41121,31.79251019500001
82763,32.776425230000044
15297,31.079758080000023
77126,38.168351780000016
18865,38.00485649000001
43696,32.90327175000002
35857,34.27294832000003
11786,34.46568667000001
35791,33.31732689500002
29325,35.23626029000003
53512,32.17172052500003
79055,31.674398615000005
60093,31.51944837500004
14319,34.75640826000003
62098,34.456856785000035
21037,32.99574818000001
48001,34.62927690500003
55055,31.57926372500001
97286,39.96395162000002
38683,35.862992235
99801,37.65308526500002
16538,33.86848262000001
34181,38.31694070500002
52721,31.253412485000027
42213,34.32051576500001
19781,33.16351599500001
42868,29.832655505
42408,30.73586729000003
32005,33.387965975000014
63132,38.04843624500001
100923,35.11909816000004
37159,35.24110248500003
14750,34.400174619999994
11853,31.835425335000032
91016,33.15098325500002
53298,34.64836085000002
109420,33.69824623500003
55432,35.10096366500002
77021,33.40306223
88674,34.15901432000001
95782,34.62035207500003
78020,35.09384279000001
117399,37.09290976500006
64903,35.00535405000002
63511,33.606434420000014
36505,36.537956240000014
91097,30.701782034999983
35227,34.33447268000003
122021,37.98320903000003
69349,36.00180182500001
114888,34.93405035500001
54083,30.808500215000024
15555,35.43222677
62210,35.554705819999995
407,32.78572984000004
24485,34.64522766500001
46598,34.06843679000002
110289,40.80877223000002
69441,33.70812051500001
43476,37.13648952000004
55075,33.10721361
45619,31.21828283500003
55326,36.46684243500001
3887,37.82370142999999
69262,36.43000377500002
91737,37.15149083
103292,39.71301198500001
74002,32.64226794500003
89600,32.56878051500003
90273,40.42604893500001
26557,34.015742315000026
102559,28.631886090000027
84991,40.62030640500005
34850,36.658916170000026
83995,43.179738770000014
82749,28.220964130000024
76938,38.57139330500001
47180,33.82347869000001
112376,34.255858220000015
96074,36.67011968000001
9421,34.71130938500001
88910,33.574437955
89696,34.13594268500002
44232,31.854414335000023
33395,32.08085816000002
33327,34.281968095
10522,33.916904570000035
32790,38.272601390000005
47224,37.95871321999999
58250,34.26326393000002
62621,34.74093222500001
50941,38.73944595500004
42162,37.52775786500005
14189,36.53026569500001
44953,34.526736305000014
52412,30.84951645500002
13018,35.116059920000026
81453,39.72896274500004
17284,34.25443404500002
47540,36.37958798000003
9653,35.554136150000005
36579,30.769098040000028
45844,30.85378898000002
34190,34.88135588000002
108844,38.28484929500003
70623,32.642362889999994
38370,33.61934694000005
58735,38.34295563500002
8444,35.542457915000014
81787,34.02219857500004
34185,34.563385075
61062,34.46008491500002
75220,38.07815403000003
105476,35.77326921000002
1706,35.702250350000014
25547,32.014206769999994
55907,33.21877398500001
54308,32.452567835
8769,32.551975250000055
74726,32.98122159500004
96675,36.13747823000004
11281,35.26901631500003
109312,36.53890569000001
40953,32.759335130000025
86972,35.45672258000002
52846,32.88808055000002
100303,36.30980340500001
49907,34.82296470500003
59405,33.67935218000002
122216,40.218309275
18005,37.50345194500003
85420,34.62215603000001
42273,33.951369605
90881,36.70543922000004
80340,36.339426245000006
52454,35.20749195500004
42628,33.90731512500002
17335,35.16343747500003
80415,36.59349906500003
33792,33.363470165000024
64118,33.37913609000002
47674,32.73483932
60163,34.18607364500002
15893,34.02656604500003
59077,31.76212779500001
6726,34.594052310000016
112196,40.58470203000005
59522,29.795626955000014
71618,37.99545693500001
50597,30.62781988000004
43073,32.636856080000015
79300,36.15684700999999
43845,31.003327355
90249,32.551690415000024
39500,34.490277425000016
12196,36.74617062500003
34632,33.10654899500001
81431,36.41272378500002
69894,29.061607160000023
43358,34.83207942500004
57158,36.295466710000014
107349,33.843132305000026
83245,30.942087830000013
49165,32.129185165000024
9034,34.58000045000004
24795,34.75773749
4630,32.492254845
41161,39.16081186500002
100722,33.39689080500002
70198,34.21427231000001
25334,31.59796789000003
18462,34.017261434999995
90118,27.67142247000002
76650,28.996949615000037
92323,36.346072395000014
50091,34.52303345000004
27200,36.59872104
38095,35.13742254500001
65448,35.36215736000004
48305,36.22739114500004
66914,31.97489954
90201,35.796245900000045
28914,33.17747291000004
84189,38.28370995500004
121986,32.66761826000003
65289,29.337897110000007
101859,35.521380124999986
31523,33.579090260000015
24578,33.701854145000034
92111,35.887108265
58345,34.30484984
55283,35.51397441500003
36119,30.655543819999995
60658,34.93490486000002
35162,33.60709903500004
9852,33.63957022500001
36928,33.38302883500004
92760,35.948347790000014
70714,40.18099589000004
55216,36.75376622500004
70112,37.23865034000001
20620,37.435186490000014
106302,37.09917613500003
45364,32.53545482000003
35517,33.61127661500005
42616,33.02594069000002
38440,34.768371329999994
101057,36.25967244500001
100920,36.69148230500005
85440,35.87666431500002
88408,32.315562200000016
40351,32.13640098500002
37847,33.29624910499998
13754,35.331205290000014
18340,34.98085824000003
92833,34.298393580000024
60253,39.31054013000002
34112,39.38602140500002
118656,33.73622423500002
8583,32.920741630000016
114778,36.134629880000006
105949,36.87206769500003
75590,30.05055428000004
65157,34.88306489000004
44617,33.62855660500001
68454,36.946884355
2532,38.44150854500005
30523,39.23904654500002
65340,34.09881919000005
25423,33.095345485000045
86643,35.122326290000046
21148,33.94766675000003
2654,35.577017895000026
5977,33.71495655500001
78675,39.55179537500002
85434,35.14995528500002
58834,30.757040025000027
81214,38.210127580000034
108032,35.808208970000024
30237,36.89684834000002
45291,30.77545935499999
21087,34.67276171500003
51363,34.955982650000045
36850,33.11310020000002
44160,36.15998019500002
37316,40.26018002
81956,36.339331300000055
25529,35.882550905
50488,33.15781929500002
43568,33.936178405000014
56694,32.217958739999986
91127,37.36150917000001
41851,33.91918325000001
24446,34.373590020000016
120386,32.763987435000004
54306,32.85247617500003
91908,39.32639594500003
80373,35.73946879000001
45374,34.545250580000015
76279,39.75716141
121691,37.309004585
99332,34.812995480000026
69209,35.343358250000044
85688,38.14043795000003
1474,32.125292420000015
77144,33.207950255000014
56454,32.69439275000003
11682,34.506797855000016
93474,38.23500317
8822,33.899244800000034
66840,31.249899520000024
26757,32.564223155
25015,30.931833770000047
102803,28.994955770000043
72069,33.86145669
55394,31.095613895
16295,32.04553862000003
30521,35.91502209500002
84516,32.88057989499998
59484,33.50389382
79060,33.41284156500001
83105,32.317935825
36730,32.06186916000003
72319,37.39901244500002
107465,38.73916112000003
26306,31.910811665000026
6217,36.765824240000015
77000,32.82513201500004
71558,29.52702755000001
80642,36.33971108000003
8729,34.58968484000003
13842,33.77733542
73669,34.698681700000016
91178,36.09446814500002
48203,32.86928144000003
55461,34.01564737000001
46742,32.040316645000026
79116,33.98782848500002
97028,37.03670232500002
13351,34.12312511000003
109715,34.354695965000005
117690,39.593381285000014
48109,34.580285285000045
33440,31.893911455000048
90287,37.945895645000014
65381,37.40186079500003
74022,34.29174743000005
49458,33.28599504500002
37620,38.21041241500004
64230,35.381810975000015
107548,33.43183056500005
42308,31.182203735000037
88728,33.26349308000003
55379,40.04085707000002
57923,31.278477965000015
97113,34.62870723499998
77715,34.33713114000001
62759,37.570198280000014
116940,31.537392980000032
7160,36.052882235
44541,33.478543505000026
71136,37.57589498000003
62434,31.95249252000002
106737,37.64596439
79528,38.13103839500001
93173,35.49583992
84318,32.39873401999999
53937,33.46743494000004
45404,34.079640300000015
66617,36.55504634000005
68108,35.69645870500003
118264,35.89992584000003
33593,30.795397805000032
95756,28.79671061000002
30939,33.42670353500004
42097,32.47592430500003
43529,34.01289396500003
15882,31.84843280000005
19089,34.96186923999999
102388,35.78257382000002
58279,36.35281349000004
86585,35.22686073500002
64990,36.800004440000045
17717,32.72600943500002
44445,33.76793586500006
91949,32.65109783000001
38612,34.744350245000035
112997,35.70756727000001
53687,34.25899140500002
21639,33.33403721500002
53279,34.951710125000005
11200,34.39799088500003
8986,33.86829273000002
22484,33.9182338
63133,34.97297780500001
12577,33.66416098000002
31664,38.32700487500002
112152,34.083817880000026
114730,34.50053148500001
56978,30.83935734000003
85082,35.80507578500001
53626,31.32936848500004
75238,35.09441246000001
34139,31.569009665000003
119916,34.80017790500001
51168,34.60667999500002
82489,40.0706698
32325,35.611957655000026
45722,30.651556130000028
76747,38.91832233500001
46189,31.87729608000004
22385,35.79178348500003
79975,36.17564612000004
26167,33.09923823000002
41374,32.99945103500003
60478,32.715755375000015
54692,32.87269945999999
15830,32.561374805
40489,35.13485903
61385,35.71250441000002
55316,30.719251915000005
39143,38.37609144000001
53498,35.18385065000001
36450,33.659128895000016
7107,33.67394031500002
36729,41.2365944
79886,36.73677107000001
38782,33.393093005000026
26050,34.782518135000025
121078,39.368361635
2393,32.78240676500002
47710,37.74708081500003
24304,32.90716449500002
112502,34.993580870000024
19689,30.987661430000024
56163,34.66640040000003
65636,29.09521769000004
9283,36.082315185000034
87302,36.403229285000016
24116,33.34229743000003
30322,31.296992240000023
50760,31.22473909500002
99813,39.55663757000002
59586,37.707773585000005
15802,39.60543930000002
70256,37.09965086000002
33571,33.25190978999999
66071,33.14652084000004
25263,34.71273356000001
27537,39.85267608000005
4110,31.57413669500004
41052,38.49287379000005
6265,32.36626283000001
1983,34.08552689000001
51450,32.19583655500001
2911,30.752102885000003
10852,33.93655818499999
17032,33.57823575500002
41226,33.583932455
43570,35.08672191500002
37205,33.95051510000002
68985,33.29957218000003
98120,36.64334519000003
105267,34.00871638499999
72033,33.848449225000024
116391,40.26150925
2370,29.052207605000014
106085,32.435192900000004
73885,33.881679975
26001,34.41166296500001
19264,37.16630225000003
43290,34.35526563500001
15591,32.94675656000001
95289,38.13417158000003
66806,36.70591394499999
16796,34.134803345
113348,36.127509005
95170,32.183018980000014
102584,39.07982378000004
29511,34.63089097000005
6603,40.52678558
48087,37.32637952000003
46501,33.924120390000056
38253,38.46524479500004
14006,33.41388596000001
86022,35.10931882500002
114198,34.67627468000003
6422,34.64228437000001
88268,38.47910676500001
55664,31.37218868000002
90553,32.27739431000001
42487,35.28012488000003
47339,35.29408179500001
24322,34.63241009000002
